,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,win,loss,tie
350,6.0,8.0,9.0,11.0,0.0,0.0,0.0,22.0,22.0,22.0,453,481,3
351,4.0,6.0,4.0,11.0,12.0,4.0,9.0,4.0,34.0,12.0,494,428,15
352,0.0,0.0,13.0,1.0,1.0,24.0,1.0,1.0,34.0,25.0,736,195,6
353,1.0,3.0,8.0,8.0,5.0,14.0,14.0,13.0,14.0,20.0,215,707,15
354,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,366,560,11
355,1.0,1.0,1.0,1.0,11.0,13.0,15.0,17.0,19.0,21.0,238,692,7
356,2.0,2.0,3.0,6.0,10.0,12.0,14.0,18.0,18.0,15.0,192,732,13
357,0.0,2.0,0.0,2.0,0.0,0.0,0.0,32.0,32.0,32.0,521,382,34
358,3.0,6.0,7.0,8.0,2.0,13.0,15.0,1.0,33.0,12.0,458,462,17
359,0.0,0.0,10.0,14.0,16.0,18.0,20.0,22.0,0.0,0.0,448,478,11
360,3.0,4.0,6.0,10.0,14.0,15.0,15.0,16.0,16.0,1.0,275,651,11
361,2.0,0.0,5.0,11.0,12.0,15.0,16.0,20.0,0.0,19.0,341,587,9
362,0.0,0.0,5.0,7.0,9.0,17.0,0.0,21.0,21.0,20.0,378,548,11
363,0.0,1.0,1.0,7.0,6.0,10.0,11.0,20.0,24.0,20.0,311,604,22
364,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,30.0,557,375,5
365,4.0,5.0,6.0,9.0,11.0,14.0,15.0,1.0,10.0,25.0,396,519,22
366,4.0,4.0,5.0,10.0,12.0,2.0,23.0,2.0,2.0,36.0,686,237,14
367,7.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,672,249,16
368,11.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,32.0,625,306,6
369,2.0,2.0,0.0,7.0,10.0,13.0,14.0,18.0,18.0,16.0,193,733,11
370,5.0,6.0,6.0,7.0,7.0,9.0,15.0,16.0,16.0,13.0,188,717,32
371,2.0,4.0,5.0,7.0,9.0,11.0,13.0,15.0,16.0,18.0,134,788,15
372,1.0,1.0,3.0,6.0,10.0,13.0,15.0,16.0,17.0,18.0,184,743,10
373,0.0,0.0,0.0,2.0,3.0,24.0,11.0,20.0,34.0,6.0,498,428,11
374,4.0,6.0,14.0,11.0,13.0,26.0,26.0,0.0,0.0,0.0,516,383,38
375,1.0,5.0,1.0,8.0,1.0,14.0,1.0,20.0,25.0,24.0,432,499,6
376,0.0,0.0,0.0,10.0,11.0,16.0,21.0,21.0,21.0,0.0,404,526,7
377,4.0,5.0,7.0,9.0,11.0,14.0,16.0,19.0,15.0,0.0,281,637,19
378,1.0,1.0,1.0,6.0,5.0,1.0,10.0,25.0,20.0,30.0,461,440,36
379,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,32.0,36.0,630,261,46
380,0.0,0.0,1.0,12.0,15.0,20.0,25.0,1.0,1.0,25.0,559,357,21
381,7.0,7.0,8.0,11.0,15.0,27.0,0.0,0.0,0.0,25.0,466,466,5
382,0.0,0.0,0.0,0.0,10.0,14.0,16.0,18.0,20.0,22.0,263,668,6
383,0.0,8.0,0.0,0.0,15.0,20.0,26.0,31.0,0.0,0.0,593,315,29
384,1.0,1.0,9.0,13.0,15.0,1.0,18.0,1.0,16.0,25.0,501,428,8
385,5.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,30.0,30.0,658,248,31
386,0.0,0.0,6.0,9.0,12.0,15.0,16.0,20.0,22.0,0.0,346,577,14
387,1.0,3.0,6.0,10.0,10.0,15.0,16.0,18.0,12.0,9.0,273,647,17
388,15.0,3.0,5.0,7.0,9.0,0.0,0.0,23.0,19.0,19.0,316,606,15
389,1.0,2.0,3.0,4.0,5.0,5.0,20.0,20.0,20.0,20.0,354,571,12
390,3.0,7.0,7.0,8.0,4.0,13.0,16.0,19.0,22.0,1.0,332,591,14
391,1.0,1.0,1.0,1.0,1.0,15.0,20.0,20.0,20.0,20.0,348,580,9
392,0.0,0.0,0.0,0.0,16.0,18.0,0.0,19.0,24.0,23.0,452,482,3
394,0.0,0.0,0.0,14.0,3.0,14.0,15.0,5.0,25.0,24.0,457,471,9
395,2.0,6.0,9.0,4.0,10.0,12.0,14.0,15.0,14.0,14.0,205,719,13
396,3.0,6.0,2.0,11.0,12.0,9.0,15.0,15.0,14.0,13.0,197,727,13
397,3.0,4.0,5.0,8.0,15.0,25.0,40.0,0.0,0.0,0.0,312,608,17
398,1.0,1.0,4.0,3.0,5.0,0.0,10.0,11.0,35.0,30.0,500,422,15
399,3.0,3.0,5.0,7.0,11.0,11.0,15.0,15.0,15.0,15.0,151,772,14
400,6.0,7.0,10.0,14.0,17.0,21.0,25.0,0.0,0.0,0.0,559,354,24
401,0.0,0.0,7.0,0.0,0.0,23.0,0.0,0.0,34.0,36.0,686,248,3
402,1.0,2.0,2.0,3.0,4.0,6.0,9.0,14.0,22.0,37.0,452,471,14
403,1.0,1.0,9.0,11.0,13.0,16.0,21.0,26.0,1.0,1.0,543,386,8
404,4.0,11.0,21.0,4.0,16.0,4.0,21.0,4.0,4.0,11.0,362,551,24
405,1.0,19.0,19.0,1.0,1.0,19.0,19.0,1.0,19.0,1.0,184,698,55
406,2.0,4.0,8.0,2.0,14.0,2.0,22.0,2.0,22.0,22.0,522,407,8
407,4.0,6.0,8.0,12.0,1.0,18.0,1.0,24.0,25.0,1.0,503,412,22
408,1.0,1.0,2.0,3.0,12.0,13.0,1.0,1.0,33.0,33.0,576,343,18
409,2.0,1.0,1.0,1.0,5.0,10.0,20.0,20.0,20.0,20.0,322,597,18
410,1.0,5.0,5.0,8.0,10.0,11.0,13.0,13.0,15.0,19.0,165,746,26
411,10.0,3.0,3.0,14.0,3.0,18.0,3.0,20.0,23.0,3.0,536,370,31
412,1.0,1.0,1.0,1.0,15.0,17.0,19.0,21.0,23.0,1.0,448,482,7
413,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,620,307,10
414,1.0,1.0,8.0,15.0,19.0,0.0,25.0,0.0,31.0,0.0,632,293,12
415,0.0,0.0,0.0,0.0,0.0,15.0,15.0,20.0,20.0,30.0,337,585,15
416,7.0,7.0,10.0,12.0,15.0,18.0,20.0,0.0,3.0,8.0,526,394,17
417,5.0,7.0,0.0,8.0,5.0,14.0,13.0,17.0,12.0,19.0,201,726,10
418,4.0,3.0,6.0,2.0,3.0,6.0,3.0,30.0,21.0,22.0,559,348,30
419,0.0,1.0,1.0,12.0,3.0,2.0,22.0,3.0,33.0,23.0,709,219,9
420,1.0,3.0,5.0,7.0,9.0,12.0,15.0,18.0,16.0,14.0,179,747,11
421,6.0,6.0,10.0,12.0,12.0,15.0,3.0,3.0,3.0,30.0,609,318,10
422,5.0,5.0,5.0,5.0,5.0,15.0,15.0,15.0,15.0,15.0,185,726,26
423,0.0,1.0,6.0,7.0,11.0,15.0,20.0,0.0,20.0,20.0,341,576,20
